소스 파일,페이지 번호,추정 문제 번호,추출된 텍스트
2026.pdf,34,26,"26. 그림과 같이 곡선 
ln와 축 및 두 직선 
, 로 둘러싸인 부분을 밑면으로 하는 입체도형이 
있다. 이 입체도형을 축에 수직인 평면으로 자른 단면이 
모두 정삼각형일 때, 이 입체도형의 부피는? [3점]
①

ln
②

ln
③

ln
④

ln
⑤

ln"
2026.pdf,35,N/A,"이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다.
짝수형
(미적분)
3
15
20"
2026.pdf,35,27,"27. 매개변수 로 나타내어진 곡선 
sin,  cos
를 라 하자. 곡선 가 직선 와 만나는 점을 
P 라 할 때, 곡선  위의 점 P 에서의 접선의 기울기는? [3점] 
①


②


③


④


⑤

"
2026.pdf,35,28,"28. 함수 

ln
와 양수 에 대하여 점 ()에서 축에 내린 
수선의 발과 곡선  위의 점 에서의 접선이 
축과 만나는 점 사이의 거리가 가 되도록 하는 의 값을 
라 하자. 





의 값은? [4점]
①

ln
②

ln
③

ln
④

ln
⑤

ln"
2026.pdf,36,N/A,"이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다.
4
(미적분)
짝수형
16
20
단답형"
2026.pdf,36,29,"29. 첫째항과 공차가 같은 등차수열 과 등비수열 이 
다음 조건을 만족시킨다. 
어떤 자연수 에 대하여 


 (, , )
이다.
부등식


∞




이 성립할 때, ×

∞

이다. 의 값을 구하시오. 
(단, ≠이고, 와 는 서로소인 자연수이다.) [4점]"
2026.pdf,36,30,"30. 실수 전체의 집합에서 증가하는 연속함수 의 역함수 
가 다음 조건을 만족시킨다. 
(가) ≤일 때, ×

이다.
(나) 일 때, 이다.
실수 에 대하여 기울기가 이고 점 을 지나는 직선이 
곡선 와 만나는 점의 개수를 이라 하자. 
함수 이 , ()에서 불연속일 때, 
×lim
→
×

ln

의 값을 구하시오. 
(단, lim
→∞

ln) [4점]
* 확인 사항
◦답안지의 해당란에 필요한 내용을 정확히 기입(표기)했는지 확인
하시오.
◦이어서, ｢선택과목(기하)｣ 문제가 제시되오니, 자신이 선택한 
과목인지 확인하시오."
2026.pdf,37,N/A,"이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다.
짝수형
(기하)
3
17
20
5지선다형"
2026.pdf,37,23,"23. 두 벡터 , 에 대하여 
의 모든 성분의 합은? [2점]
①
②
③
④
⑤"
2026.pdf,37,24,"24. 포물선 의 초점과 준선 사이의 거리는? [3점]
①
②
③
④
⑤
2026학년도 대학수학능력시험 문제지
(기하)
제2 교시
1
짝수형"
2026.pdf,38,N/A,"이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다.
2
(기하)
짝수형
18
20"
2026.pdf,38,25,"25. 좌표공간의 점 A
를 평면에 대하여 
대칭이동한 점을 B, 점 A 를 원점에 대하여 대칭이동한 점을 
C라 할 때, 선분 BC의 길이는? [3점]
①

②

③

④
⑤"
2026.pdf,38,26,"26. 양수 에 대하여 두 초점이 F , F′인 
쌍곡선 





 위의 점 에서의 접선이 
축과 만나는 점을 P 라 하자. 
PF ×
PF′ 일 때, 의 값은?
[3점]
①
②


③


④
⑤

"
2026.pdf,39,N/A,"이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다.
짝수형
(기하)
3
19
20"
2026.pdf,39,27,"27. 그림과 같이 지름의 길이가 인 두 원 , 를 
두 밑면으로 하는 원기둥이 있고, 원  위의 
AB 인 
두 점 A , B와 원  위의 
CD 인 두 점 C, D에 대하여 

AD 
BC 이다. 점 D에서 원 을 포함하는 평면에 내린 
수선의 발을 H 라 하자. 사각형 ABCD의 넓이가 
삼각형 ABH 의 넓이의 배일 때, 이 원기둥의 높이는? [3점]
①
②

③
④

⑤
"
